test,sum_gbps
host_to_device_memcpy_ce,55.58
device_to_host_memcpy_ce,57.39
host_to_device_bidirectional_memcpy_ce,49.81
device_to_host_bidirectional_memcpy_ce,50.8
all_to_host_memcpy_ce,57.36
all_to_host_bidirectional_memcpy_ce,50.81
host_to_all_memcpy_ce,55.57
host_to_all_bidirectional_memcpy_ce,49.58
host_to_device_memcpy_sm,51.68
device_to_host_memcpy_sm,52.85
host_to_device_bidirectional_memcpy_sm,40.63
device_to_host_bidirectional_memcpy_sm,40.59
all_to_host_memcpy_sm,52.85
all_to_host_bidirectional_memcpy_sm,40.62
host_to_all_memcpy_sm,51.69
host_to_all_bidirectional_memcpy_sm,40.59
host_device_latency_sm,1512.18
device_local_copy,2709.76
